"original_case_key","block","root_kind","family","tau","fit_size","prior_semantics","model","inference","baseline_gate_overall","best_phase","best_config_id","best_candidate_variant_tag","best_candidate_fit_path","best_health_csv","best_gate_overall","best_healthy","best_runtime_sec","best_status","promote_recommend","improvement_over_baseline"
"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic","dynamic","gausmix","0p05",500,"default","dqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0004.csv","PASS",TRUE,449.166,"skipped_existing",TRUE,TRUE
"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0005.csv","FAIL",FALSE,626.266,"skipped_existing",FALSE,FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0006.csv","FAIL",FALSE,46206.617,"skipped_existing",FALSE,FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","vb","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0007.csv","WARN",TRUE,1440.065,"skipped_existing",TRUE,TRUE
"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic","dynamic","gausmix","0p25",500,"default","dqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p25_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0008.csv","PASS",TRUE,903.497,"skipped_existing",TRUE,TRUE
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","slice_pilot_20260318","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_pilot_20260318.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0001.csv","FAIL",FALSE,627.828,"skipped_existing",FALSE,FALSE
"dynamic::gausmix::0p95::500::default::dqlm::mcmc","dynamic","dynamic","gausmix","0p95",500,"default","dqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p95_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0010.csv","PASS",TRUE,901.878,"skipped_existing",TRUE,TRUE
"dynamic::gausmix::0p95::500::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0011.csv","FAIL",FALSE,1284.769,"skipped_existing",FALSE,FALSE
"dynamic::laplace::0p05::500::default::dqlm::mcmc","dynamic","dynamic","laplace","0p05",500,"default","dqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0012.csv","PASS",TRUE,444.656,"skipped_existing",TRUE,TRUE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0013.csv","FAIL",FALSE,621.583,"skipped_existing",FALSE,FALSE
